nome;nazionale;ruolo;quotazione
BEHICH E;AUSTRALIA;D;7
BEIER;GERMANIA;A;14
BEIRANVAND A;IRAN;P;6
BELAID;ALGERIA;D;1
BELAMMARI;MAROCCO;D;7
BELGHALI R;ALGERIA;D;4
BELL J;NUOVA ZELANDA;C;3
BELLEGARDE;HAITI;C;6
BELLINGHAM;INGHILTERRA;C;19
BEN DOAK;SCOZIA;A;16
BEN HMIDA;TUNISIA;D;4
BEN HSAN;TUNISIA;P;1
BEN OUANES;TUNISIA;C;3
BENBOT;ALGERIA;P;1
BENBOUALI;ALGERIA;A;9
BENCHIMOL;CAPO VERDE;A;1
BENSEBAINI;ALGERIA;D;7
BENTALEB;ALGERIA;C;7
BENTANCUR;URUGUAY;C;12
BERG;NORVEGIA;C;9
BERGE;NORVEGIA;C;10
BERGVALL L;SVEZIA;C;4
BERHALTER;USA;C;5
BERNARDO SILVA;PORTOGALLO;C;16
BERNHARDSSON A;SVEZIA;A;8
BINDON;NUOVA ZELANDA;D;7
BJORKAN;NORVEGIA;D;6
BLACKMAN C;PANAMA;D;6
BOAKYE A;GHANA;C;3
BOBADILLA D;PARAGUAY;C;9
BOBB;NORVEGIA;C;15
BODAK;CURACAO;P;1
BOMBITO M;CANADA;D;5
BONGONDA T;CONGO;A;13
BONNY;IVORY COAST;A;13
BONSU BAAH;GHANA;A;5
BORGES E;CAPO VERDE;D;4
BOS;AUSTRALIA;D;8
BOUADDI;MAROCCO;C;7
BOUDAOUI;ALGERIA;C;7
BOUDIAF;QATAR;C;2
BOULBINA;ALGERIA;A;6
BOUNOU;MAROCCO;P;10
BOUSHAL N;ARABIA SAUDITA;D;5
BOXALL;NUOVA ZELANDA;D;6
BRADY;USA;P;1
BREMER;BRASILE;D;6
BRENET;CURACAO;C;4
BROBBEY B;OLANDA;A;14
BRONN;TUNISIA;D;2
BROWN NA;GERMANIA;D;6
BRUNO FERNANDES;PORTOGALLO;C;23
BUCHANAN;CANADA;D;9
BUDIMIR;CROAZIA;A;21
BUENO S;URUGUAY;D;7
BURGESS C;AUSTRALIA;D;6
BURN;INGHILTERRA;D;11
BURNIC;BOSNIA;C;7
CABALLERO;PARAGUAY;A;2
CABRAL J;CAPO VERDE;A;9
CABRAL LS;CAPO VERDE;C;1
CACACE;NUOVA ZELANDA;D;5
CACERES JJ;PARAGUAY;D;8
CACERES S;URUGUAY;D;8
CAICEDO JO;ECUADOR;A;3
CAICEDO M;ECUADOR;C;6
CAKIR;TURCHIA;P;5
CALETA-CAR;CROAZIA;D;8
CALHANOGLU;TURCHIA;C;15
CAMARA L;SENEGAL;C;7
CAMPAZ;COLOMBIA;C;8
CANALE D;PARAGUAY;D;4
CANCELO;PORTOGALLO;D;12
CANOBBIO A;URUGUAY;A;17
CARRASCAL J;COLOMBIA;C;10
CARRASQUILLA A;PANAMA;C;5
CASEMIRO;BRASILE;C;12
CASIMIR;HAITI;A;3
CASTAGNE;BELGIO;D;10
CASTANO GIL;COLOMBIA;C;11
CASTILLO D;ECUADOR;C;3
CASTROP;COREA DEL SUD;C;4
CELIK;TURCHIA;D;9
CERV;REPUBBLICA CECA;C;8
CESNEROS H;PANAMA;C;6
CHAIBI;ALGERIA;C;8
CHAINE;SUDAFRICA;P;1
CHALOUPEK;REPUBBLICA CECA;D;5
CHAMAKH A;TUNISIA;P;1
CHAMBERS A;PANAMA;D;2
CHAOUAT;TUNISIA;A;2
CHAVEZ L;MESSICO;C;3
CHAVEZ M;MESSICO;D;3
CHERGUI S;ALGERIA;D;4
CHERKI;FRANCIA;C;15
CHESHMI;IRAN;C;3
CHIKHAOUI;TUNISIA;C;2
CHO GS;COREA DEL SUD;A;6
CHO WJ;COREA DEL SUD;D;9
CHOINIERE;CANADA;C;4
CHONG;CURACAO;C;6
CHORY;REPUBBLICA CECA;A;8
CHRISTIE;SCOZIA;C;10
CHUKWUEMEKA;AUSTRIA;C;12
CHYTIL;REPUBBLICA CECA;A;5
CIPENGA;CONGO;D;2
CIRCATI;AUSTRALIA;D;3
CISS;SENEGAL;C;6
COMENENCIA;CURACAO;C;7
COMERT;SVIZZERA;D;5
CONCEICAO F;PORTOGALLO;C;15
CORDOBA J;COLOMBIA;A;17
CORNELIUS D;CANADA;D;4
COSTA J;PORTOGALLO;D;6
COUFAL;REPUBBLICA CECA;D;9
COURTOIS;BELGIO;P;14
CREPEAU;CANADA;P;1
CROCOMBE;NUOVA ZELANDA;P;6
CROSS;SUDAFRICA;D;3
CUBARSI P;SPAGNA;D;7
CUBAS;PARAGUAY;C;3
CUCURELLA;SPAGNA;D;12
CUNHA;BRASILE;A;10
CURTIS F;SCOZIA;C;4
DAHMEN A;TUNISIA;P;6
DALOT;PORTOGALLO;D;7
DANI OLMO;SPAGNA;C;24
DANILO DS;BRASILE;D;8
DANILO OL;BRASILE;C;6
DANSO;AUSTRIA;D;8
DARIDA;REPUBBLICA CECA;C;6
DAVID;CANADA;A;21
DAVID P;CANADA;A;14
DAVIES;CANADA;D;7
DAVIS E;PANAMA;C;9
DE ARRASCAETA G;URUGUAY;C;15
DE BRUYNE;BELGIO;C;22
DE CUYPER;BELGIO;D;13
DE FOUGEROLLES;CANADA;D;4
DE JONG;OLANDA;C;8
DE KETELAERE;BELGIO;A;20
DE LA CRUZ N;URUGUAY;C;13
DE PAUL;ARGENTINA;C;7
DE ROON;OLANDA;C;7
DE VRIES;NUOVA ZELANDA;D;6
DE WINTER;BELGIO;D;10
DEBAST Z;BELGIO;D;9
DEDIC;BOSNIA;D;9
