nome;nazionale;ruolo;quotazione
MEDINA Y;ECUADOR;C;3
MEJBRI;TUNISIA;C;3
MEJIA CAJAR;PANAMA;P;4
MELE S;URUGUAY;P;1
MEMIC;BOSNIA;C;8
MENDES;QATAR;D;5
MENDES RY;CAPO VERDE;A;10
MENDES TAV;PORTOGALLO;D;7
MENDY A;SENEGAL;D;5
MENDY E;SENEGAL;P;8
MENSAH G;GHANA;D;7
MERINO;SPAGNA;C;22
MESSI;ARGENTINA;A;32
METCALFE C;AUSTRALIA;C;7
METUSALA;HAITI;D;1
MEUNIER;BELGIO;D;8
MILLAR;CANADA;A;9
MILLER R;PANAMA;D;2
MINA Y;COLOMBIA;D;11
MINDA A;ECUADOR;A;9
MOBIL A;AUSTRALIA;A;3
MODIBA A;SUDAFRICA;D;6
MODRIC;CROAZIA;C;15
MOFOKENG;SUDAFRICA;C;5
MOGHANLOO;IRAN;A;8
MOHAMMADI;IRAN;D;1
MOHEBI;IRAN;C;3
MOJICA;COLOMBIA;D;12
MOKOENA;SUDAFRICA;C;6
MOLINA L;ARGENTINA;D;8
MONTEIRO JA;CAPO VERDE;C;8
MONTERO A;COLOMBIA;P;1
MONTES;MESSICO;D;4
MONTIEL;ARGENTINA;D;10
MORA G;MESSICO;C;3
MOREIRA;CAPO VERDE;D;1
MOREIRA D;BELGIO;C;7
MOREIRA FER;CAPO VERDE;C;4
MOREMI;SUDAFRICA;C;3
MORO N;CROAZIA;C;11
MOSQUERA;PANAMA;P;1
MOUTOUSSAMY;CONGO;C;7
MOZGOVOY;UZBEKISTAN;C;4
M'PASI;CONGO;P;6
MUDAU;SUDAFRICA;D;7
MUHAMEROVIC T;BOSNIA;D;8
MUHEIM M;SVIZZERA;D;7
MUJAKIC;BOSNIA;D;7
MUKAU N;CONGO;C;3
MULDUR;TURCHIA;D;8
MUMIN A;GHANA;D;4
MUNOZ D;COLOMBIA;D;7
MUNOZ V;SPAGNA;A;17
MUNTARI;QATAR;A;7
MURILLO A;PANAMA;D;5
MUSA;CROAZIA;A;11
MUSIALA;GERMANIA;A;26
MUSLERA;URUGUAY;P;1
MUSSO;ARGENTINA;P;1
MVOGO Y;SVIZZERA;P;1
MWENE;AUSTRIA;D;6
NAGATOMO;GIAPPONE;D;4
NAKAMURA;GIAPPONE;C;12
NASIB A;GIORDANIA;D;3
NASRULLAYEV;UZBEKISTAN;D;5
NAZON;HAITI;A;8
NDAMANE;SUDAFRICA;D;3
NDIAYE I;SENEGAL;A;16
NDIAYE PC;SENEGAL;A;13
N'DICKA;IVORY COAST;D;5
NDOYE;SVIZZERA;C;13
NEFFATI;TUNISIA;D;3
NELSON;CANADA;C;6
NEMATI;IRAN;D;3
NEMATOV;UZBEKISTAN;P;1
NEUER;GERMANIA;P;15
NEYMAR;BRASILE;C;22
NGOY;BELGIO;D;6
NIAKHATE;SENEGAL;D;7
NIAZMAND;IRAN;P;1
NICO PAZ;ARGENTINA;C;15
NILSSON;SVEZIA;A;5
NMECHA F;GERMANIA;C;9
NORDFELDT;SVEZIA;P;1
NOSLIN;CURACAO;D;4
NUAMAH;GHANA;C;12
NUBEL;GERMANIA;P;1
NUNES;PORTOGALLO;C;11
NUNEZ;URUGUAY;A;24
NUNO DA COSTA;CAPO VERDE;A;1
NUSA;NORVEGIA;C;17
NYGREN;SVEZIA;A;13
NYLAND;NORVEGIA;P;13
OBAID S;GIORDANIA;D;4
OBISPO;CURACAO;D;2
OCHOA;MESSICO;P;1
ODEGAARD;NORVEGIA;C;15
OGAWA;GIAPPONE;A;23
OH HG;COREA DEL SUD;A;19
OJEDA R;PARAGUAY;C;6
OKAFOR;SVIZZERA;A;16
OKON;SUDAFRICA;D;3
OKON-ENGSTLER;AUSTRALIA;C;3
OLD B;NUOVA ZELANDA;C;3
OLISE;FRANCIA;C;21
OLIVERA;URUGUAY;D;6
OLUWASEYI;CANADA;A;8
OLVEIRA;PARAGUAY;P;6
ONANA AM;BELGIO;C;10
O'NEILL;AUSTRALIA;C;8
OPERI;IVORY COAST;D;1
OPOKU J;GHANA;D;4
OPPONG;GHANA;D;3
ORDONEZ G;ECUADOR;D;8
O'REILLY N;INGHILTERRA;C;8
ORUNOV;UZBEKISTAN;A;11
OSAKO;GIAPPONE;P;1
OSORIO;CANADA;C;6
OSPINA R;COLOMBIA;P;1
OSTIGARD;NORVEGIA;D;8
OTAMENDI;ARGENTINA;D;13
OUEDRAOGO A;GERMANIA;C;6
OULAI C;IVORY COAST;C;2
OUNAHI;MAROCCO;C;7
OWUSU E;GHANA;C;5
OYARZABAL;SPAGNA;A;22
OZCAN;TURCHIA;C;16
PACHO;ECUADOR;D;3
PAEZ;ECUADOR;C;12
PAIK;COREA DEL SUD;C;9
PALACIOS;ARGENTINA;C;7
PANDUR;CROAZIA;P;1
PAQUETA;BRASILE;C;12
PAREDES;ARGENTINA;C;5
PARK JS;COREA DEL SUD;C;9
PARTEY;GHANA;C;11
PASALIC;CROAZIA;C;16
PASALIC M;CROAZIA;A;10
PATTERSON;SCOZIA;D;4
PAUGAIN;HAITI;D;1
PAULSEN;NUOVA ZELANDA;P;1
PAVLOVIC A;GERMANIA;C;7
PAYNE;NUOVA ZELANDA;D;5
PEDERSEN;NORVEGIA;D;7
PEDRI;SPAGNA;C;18
PEDRO MIGUEL;QATAR;D;2
PEDRO PORRO;SPAGNA;D;10
PELLISTRI;URUGUAY;C;3
PENDERS;BELGIO;P;1
PENTZ;AUSTRIA;P;1
PEPE N;IVORY COAST;A;7
PEPI;USA;A;17
PEREIRA LEO;BRASILE;D;5
PERISIC;CROAZIA;C;17
PEZZELLA;ARGENTINA;D;4
PICKEL;CONGO;C;8
PICKFORD;INGHILTERRA;P;16
PIERRE;HAITI;P;1
PIERRE OW;HAITI;C;1
PIERROT;HAITI;A;7
PIJNAKER Z;NUOVA ZELANDA;D;2
PINEDA O;MESSICO;C;4
PIQUEREZ J;URUGUAY;D;7
PIRES K;CAPO VERDE;D;1
PITTA I;PARAGUAY;A;10
PLACIDE;HAITI;P;5
PLATA G;ECUADOR;A;13
PONGRACIC;CROAZIA;D;6
POROZO GJ;ECUADOR;D;2
PORTILLA O;COLOMBIA;C;9
POSCH;AUSTRIA;D;8
PRASS A;AUSTRIA;C;6
PRECIADO A;ECUADOR;D;4
PROVIDENCE;HAITI;A;11
PROVOD;REPUBBLICA CECA;C;8
PUBILL;SPAGNA;D;6
PUERTA;COLOMBIA;C;5
PULISIC;USA;C;13
PUTROS F;IRAQ;D;4
QASEM;IRAQ;C;2
QUANSAH;INGHILTERRA;D;9
QUINONES J;MESSICO;A;5
QUINTERO JF;COLOMBIA;C;13
RABIA;EGITTO;D;6
RABIOT;FRANCIA;C;16
RADELJIC;BOSNIA;D;5
RAHEEM;IRAQ;P;1
RAHIMI;MAROCCO;A;8
RAHMAN;IRAQ;D;6
RALSTON;SCOZIA;D;5
RAMIREZ M;ECUADOR;P;1
RAMOS DIAZ;PANAMA;D;1
RAMOS G;PORTOGALLO;A;27
RANDALL;NUOVA ZELANDA;A;3
RANGEL R;MESSICO;P;8
RAPHINA DB;BRASILE;A;31
RASHFORD;INGHILTERRA;A;20
RASKIN;BELGIO;C;9
RAUL J;MESSICO;A;7
RAUM;GERMANIA;D;7
RAYA MARTIN;SPAGNA;P;1
RAYAN;BRASILE;A;5
RAYNERS;SUDAFRICA;A;7
RAZZAGHINIA;IRAN;C;3
REAM;USA;D;5
REIJNDERS;OLANDA;C;14
REKIK;TUNISIA;D;4
REYES I;MESSICO;D;4
REYNA;USA;C;10
REZAEIAN R;IRAN;D;5
RIAD C;MAROCCO;D;7
RICE;INGHILTERRA;C;18
RICHARDS C;USA;C;12
RIEDER;SVIZZERA;C;9
RIOS R;COLOMBIA;C;4
RISSER R;FRANCIA;P;1
ROBERTSON;SCOZIA;D;6
ROBINSON A;USA;D;6
ROBINSON M;USA;D;4
ROCHET S;URUGUAY;P;9
RODRI;SPAGNA;C;8
RODRIGUES G;CAPO VERDE;A;6
RODRIGUEZ BR;URUGUAY;C;9
RODRIGUEZ J;PANAMA;A;15
RODRIGUEZ JD;COLOMBIA;A;17
RODRIGUEZ K;ECUADOR;A;2
RODRIGUEZ R;SVIZZERA;D;7
RODRIGUEZ T;PANAMA;A;4
ROEFS;OLANDA;P;1
ROEMERATOE;CURACAO;C;6
ROGERS M;INGHILTERRA;A;16
ROLDAN;USA;C;8
ROMERO;ARGENTINA;D;11
ROMO L;MESSICO;C;2
RONALDO C;PORTOGALLO;A;38
ROOM;CURACAO;P;5
ROSA M;CAPO VERDE;P;1
RUBEN DIAS;PORTOGALLO;D;10
RUBEN NEVES;PORTOGALLO;C;12
RUDIGER;GERMANIA;D;11
RUFER;NUOVA ZELANDA;C;4
RULLI G;ARGENTINA;P;1
RYAN MD;AUSTRALIA;P;8
RYERSON;NORVEGIA;D;11
SA;PORTOGALLO;P;1
SAAD E;TUNISIA;A;4
SAADANE M;MAROCCO;D;3
SAADEH;GIORDANIA;C;2
SAADOON;IRAQ;C;4
SABER M;EGITTO;C;6
SABITZER;AUSTRIA;C;13
SADIKI N;CONGO;C;5
SADILEK;REPUBBLICA CECA;C;7
SAELEMAEKERS;BELGIO;C;9
SAIBARI BEB;MAROCCO;C;11
SAINTE;HAITI;C;1
SAKA;INGHILTERRA;A;24
SALAH;EGITTO;A;28
SALAH-EDDINE;MAROCCO;D;5
SALIBA;FRANCIA;D;11
SALIBA N;CANADA;C;6
SAMBA;FRANCIA;P;1
SAMBO S;CURACAO;D;4
SAMUDIO C;PANAMA;P;1
SANABRIA;PARAGUAY;A;17
SANABRIA JM;URUGUAY;C;3
SANCHEZ JO;MESSICO;D;5
SANCHEZ MINA;COLOMBIA;D;12
SANE;GERMANIA;A;27
SANGARE';IVORY COAST;C;8
SANO K;GIAPPONE;D;6
SANTOS C;CAPO VERDE;P;1
SAPOKO N;SENEGAL;A;7
SARR I;SENEGAL;A;15
SARR M;SENEGAL;D;4
SARR PM;SENEGAL;C;8
SAYED;EGITTO;C;14
SAYFIYEV;UZBEKISTAN;D;1
SBAI;MAROCCO;C;5
SCALLY;USA;D;5
SCHICK;REPUBBLICA CECA;A;26
SCHJELDERUP A;NORVEGIA;C;13
SCHLAGER;AUSTRIA;C;8
SCHLAGER A;AUSTRIA;P;8
SCHLOTTERBECK N;GERMANIA;D;12
SCHMID R;AUSTRIA;C;8
SCHOPF;AUSTRIA;C;6
SEBELEBELE;SUDAFRICA;C;3
SECK A;SENEGAL;D;5
SEIDU;GHANA;D;6
SEIWALD;AUSTRIA;C;7
SEKO;GIAPPONE;D;5
SELVIK E;NORVEGIA;P;1
SEMA;SVEZIA;C;6
SEMEDO;PORTOGALLO;C;11
SEMEDO W;CAPO VERDE;A;5
SEMEDO Y;CAPO VERDE;C;5
SEMENYO;GHANA;C;12
SENAYA;GHANA;D;4
SENESI BARON;ARGENTINA;D;4
SEOL YW;COREA DEL SUD;D;2
SERGEEV;UZBEKISTAN;A;8
SERI;IVORY COAST;C;4
SEYS;BELGIO;D;6
SHAFFELBURG;CANADA;C;3
SHANKLAND;SCOZIA;A;8
SHARARH;GIORDANIA;A;5
SHER;IRAQ;C;3
SHIOGAI;GIAPPONE;A;7
SHOBEIR A;EGITTO;P;5
SHOMURODOV;UZBEKISTAN;A;7
SHUKUROV;UZBEKISTAN;C;4
SIBISI;SUDAFRICA;D;6
SIBO K;GHANA;C;5
SIGUR;CANADA;D;4
SIMON D;HAITI;C;1
SINGH;NUOVA ZELANDA;C;7
SINGO;IVORY COAST;D;7
SITHOLE;SUDAFRICA;C;4
SKHIRI;TUNISIA;C;5
SLIMANE;TUNISIA;C;3
SMITH E;SVEZIA;C;4
SMITH TJ;NUOVA ZELANDA;D;1
SOCHUREK;REPUBBLICA CECA;C;4
SOJKA A;REPUBBLICA CECA;C;3
SOLIMAN;EGITTO;P;3
SON;COREA DEL SUD;A;21
SONG BK;COREA DEL SUD;P;1
SORLOTH;NORVEGIA;A;25
SOSA R;PARAGUAY;C;9
SOUCEK;REPUBBLICA CECA;C;11
SOUTTAR;SCOZIA;D;5
SOUTTAR H;AUSTRALIA;D;8
SOW;SVIZZERA;C;10
SOYUNCU;TURCHIA;D;6
SPENCE;INGHILTERRA;D;8
ST CLAIR;CANADA;P;8
STAMENIC N;NUOVA ZELANDA;C;6
STANEK;REPUBBLICA CECA;P;1
STANISIC;CROAZIA;D;9
STARFELT;SVEZIA;D;7
STEWART R;SCOZIA;A;4
STILLER;GERMANIA;C;6
STONES;INGHILTERRA;D;7
STOPIRA;CAPO VERDE;D;1
STRAND LARSEN;NORVEGIA;A;24
STROUD;SVEZIA;C;3
SUAREZ C;COLOMBIA;A;19
SUCIC;CROAZIA;C;8
SUCIC P;CROAZIA;C;9
SUGAWARA Y;GIAPPONE;D;8
SULAKA R;IRAQ;D;1
SULC;REPUBBLICA CECA;C;10
SULEMANA K;GHANA;C;3
SUMMERVILLE C;OLANDA;A;12
SUNJIC;BOSNIA;C;8
SURMAN;NUOVA ZELANDA;D;3
SUTALO;CROAZIA;D;8
SUZUKI J;GIAPPONE;D;4
SUZUKI Y;GIAPPONE;C;4
SUZUKI Z;GIAPPONE;P;9
SVANBERG;SVEZIA;C;6
SVENSSON D;SVEZIA;D;5
SVOBODA;AUSTRIA;D;3
TABAKOVIC H;BOSNIA;A;13
TAGLIAFICO;ARGENTINA;D;10
TAGNAOUTI;MAROCCO;P;1
TAHA;GIORDANIA;A;1
TAHIROVIC;BOSNIA;C;13
TAHSEEN;IRAQ;D;2
TALBI;TUNISIA;D;6
TALBI C;MAROCCO;C;7
TANAKA A;GIAPPONE;C;10
TANGVIK;NORVEGIA;P;1
TANIGUCHI;GIAPPONE;D;7
TAREMI;IRAN;A;16
TCHOUAMENI;FRANCIA;C;7
THAKRI;ARABIA SAUDITA;D;4
THEATE;BELGIO;D;11
THERMONCY K;HAITI;D;1
THIAGO I;BRASILE;A;29
THIAW;GERMANIA;D;9
THOMAS R;NUOVA ZELANDA;C;2
THOMAS-ASANTE;GHANA;A;6
THORSBY;NORVEGIA;C;5
THORSTVEDT;NORVEGIA;C;7
THURAM;FRANCIA;A;21
TIELEMANS;BELGIO;C;14
TIERNEY;SCOZIA;D;8
TIL;OLANDA;C;5
TILLMAN;USA;C;5
TIMBER Q;OLANDA;C;13
TITRAOUI;ALGERIA;C;3
TOMIYASU;GIAPPONE;D;6
TONEY;INGHILTERRA;A;15
TORABI;IRAN;C;4
TORRES CAI;ECUADOR;D;7
TOUGAI;ALGERIA;D;4
TOUNEKTI;TUNISIA;A;5
TOURE;AUSTRALIA;A;7
TRAFFORD;INGHILTERRA;P;1
TRAORE' AB;IVORY COAST;A;16
TREWIN KC;AUSTRALIA;D;4
TREZEGUET H;EGITTO;C;16
TRINCAO;PORTOGALLO;A;24
TROSSARD;BELGIO;A;23
TRUSTY;USA;D;7
TSHIBOLA;CONGO;C;3
TUANZEBE A;CONGO;D;3
TURNER;USA;P;7
UEDA;GIAPPONE;A;16
UGARTE;URUGUAY;C;5
ULMASALIYEV;UZBEKISTAN;D;2
UNAI S;SPAGNA;P;16
UNDAV;GERMANIA;A;27
UPAMECANO;FRANCIA;D;12
UROZOV;UZBEKISTAN;D;3
UZUN C;TURCHIA;A;7
VALENCIA AL;ECUADOR;A;2
VALENCIA E;ECUADOR;A;18
VALERY;TUNISIA;D;5
VALLE G;ECUADOR;P;1
VALVERDE;URUGUAY;C;18
VAN DE VEN;OLANDA;D;10
VAN DIJK;OLANDA;D;11
VAN EIJMA;CURACAO;D;7
VAN HECKE;OLANDA;D;7
VANAKEN;BELGIO;C;12
VARELA G;URUGUAY;D;9
VARGAS GIL;COLOMBIA;P;12
VARGAS O;MESSICO;C;7
VARGAS R;SVIZZERA;C;11
VASILJ N;BOSNIA;P;7
VASQUEZ;MESSICO;D;3
VEGA ROJAS;MESSICO;A;6
VEIGA R;PORTOGALLO;D;11
VELAZQUEZ VG;PARAGUAY;D;7
VELHO R;PORTOGALLO;P;1
VELUPILLAY;AUSTRALIA;A;4
VERBRUGGEN;OLANDA;P;12
VINA;URUGUAY;D;8
VINAS F;URUGUAY;A;19
VINICIUS;BRASILE;A;31
VISINSKY;REPUBBLICA CECA;C;5
VITE UCA;ECUADOR;C;7
VITINHA;PORTOGALLO;C;10
VLASIC;CROAZIA;C;11
VOLPATO;AUSTRALIA;C;9
VOZINHA;CAPO VERDE;P;6
VUSKOVIC L;CROAZIA;D;5
WAGNER PINA;CAPO VERDE;D;2
WAHI;IVORY COAST;A;14
WAINE;NUOVA ZELANDA;A;11
WAN-BISSAKA;CONGO;D;7
WANNER;AUSTRIA;C;3
WATANABE;GIAPPONE;D;5
WATERMAN;CANADA;D;4
WATERMAN C;PANAMA;A;14
WATKINS;INGHILTERRA;A;25
WEAH;USA;C;9
WEGHORST;OLANDA;A;13
WEVERTON;BRASILE;P;1
WIDMER;SVIZZERA;D;8
WIEFFER M;OLANDA;D;4
WIEGELE;AUSTRIA;P;1
WILLIAMS;SUDAFRICA;P;6
WILLIAMS D;GHANA;A;14
WILLIAMS JR;SPAGNA;A;27
WIMMER;AUSTRIA;C;5
WIRTZ;GERMANIA;C;16
WISSA;CONGO;A;9
WITSEL;BELGIO;C;5
WOLFE;NORVEGIA;D;8
WOLTEMADE;GERMANIA;A;30
WOOD;NUOVA ZELANDA;A;21
WOUD M;NUOVA ZELANDA;C;1
WRIGHT H;USA;A;8
XHAKA;SVIZZERA;C;12
YAHIA;ARABIA SAUDITA;D;2
YAKOB;IRAQ;C;2
YAMAL;SPAGNA;A;36
YANIS C;PANAMA;C;5
YASSER I;EGITTO;D;4
YEBOAH J;ECUADOR;A;13
YENGI;AUSTRALIA;A;5
YEREMI;SPAGNA;C;13
YILDIZ;TURCHIA;A;22
YILMAZ BA;TURCHIA;A;16
YIRENKYI;GHANA;C;4
YUKSEK;TURCHIA;C;14
YUSUPOV;UZBEKISTAN;P;6
ZAIRE-EMERY;FRANCIA;C;8
ZAKARIA;SVIZZERA;C;8
ZAKARIA S;QATAR;P;1
ZALAZAR R;URUGUAY;C;3
ZELENY J;REPUBBLICA CECA;D;7
ZENDEJAS;USA;A;9
ZENELI;SVEZIA;C;4
ZERROUKI;ALGERIA;C;4
ZETTERSTROM W;SVEZIA;P;1
ZIDANE F;ALGERIA;P;7
ZIGI;GHANA;P;5
ZIKO M;EGITTO;A;14
ZIMA;REPUBBLICA CECA;D;4
ZLOMISLIC;BOSNIA;P;1
ZUBIMENDI;SPAGNA;C;10
ZWANE;SUDAFRICA;C;6
